age,workclass,final_pop_weight,education,marital_status,occupation,race,sex,capital_gain,work_hours_per_week,native_country,income
90,?,77053,Highschool,Widowed,?,White,Female,0.0,40,United-States,1.0
82,Private,132870,Highschool,Widowed,Exec-managerial,White,Female,42128.86667663326,18,United-States,1.0
66,?,186061,College,Widowed,?,Black,Female,0.0,40,United-States,1.0
54,Private,140359,primary school,Divorced,Machine-op-inspct,White,Female,0.0,40,United-States,1.0
41,Private,264663,College,Separated,Prof-specialty,White,Female,0.0,40,United-States,1.0
34,Private,216864,Highschool,Divorced,Other-service,White,Female,69490.85409942048,45,United-States,1.0
38,Private,150601,primary school,Separated,Adm-clerical,White,Male,17281.828609131957,40,United-States,1.0
74,State-gov,88638,primary school,Never-married,Prof-specialty,White,Female,52356.93856308129,20,United-States,0.0
68,Federal-gov,422013,Highschool,Divorced,Prof-specialty,White,Female,0.0,40,United-States,1.0
41,Private,70037,College,Never-married,Craft-repair,White,Male,34661.79738549543,60,?,0.0
45,Private,172274,primary school,Divorced,Prof-specialty,Black,Female,0.0,35,United-States,0.0
38,Self-emp-not-inc,164526,doctorate,Never-married,Prof-specialty,White,Male,0.0,45,United-States,0.0
52,Private,129177,Bachelors,Widowed,Other-service,White,Female,46080.18661184019,20,United-States,0.0
32,Private,136204,Masters,Separated,Exec-managerial,White,Male,0.0,55,United-States,0.0
51,?,172175,primary school,Never-married,?,White,Male,0.0,40,United-States,0.0
46,Private,45363,doctorate,Divorced,Prof-specialty,White,Male,0.0,40,United-States,0.0
45,Private,172822,primary school,Divorced,Transport-moving,White,Male,0.0,76,United-States,0.0
57,Private,317847,Masters,Divorced,Exec-managerial,White,Male,0.0,50,United-States,0.0
22,Private,119592,doc,Never-married,Handlers-cleaners,Black,Male,0.0,40,?,0.0
999,Private,203034,Bachelors,Separated,Sales,White,Male,2885.8407444993763,50,United-States,0.0
999,Private,188774,Bachelors,Never-married,Exec-managerial,White,Male,0.0,40,United-States,0.0
29,Private,77009,primary school,Separated,Sales,White,Female,88835.86792577022,42,United-States,1.0
61,Private,29059,Highschool,Divorced,Sales,White,Female,0.0,25,United-States,1.0
51,Private,153870,College,Married-civ-spouse,Transport-moving,White,Male,0.0,40,United-States,1.0
61,?,135285,Highschool,Married-civ-spouse,?,White,Male,0.0,32,United-States,1.0
21,Private,34310,Doctorate,Married-civ-spouse,Craft-repair,White,Male,0.0,90,United-States,1.0
999,Private,228696,primary school,Married-civ-spouse,Craft-repair,White,Male,0.0,32,Mexico,1.0
49,Private,122066,primary school,Married-civ-spouse,Other-service,White,Male,0.0,40,Greece,1.0
37,Self-emp-inc,107164,primary school,Never-married,Transport-moving,White,Male,0.0,50,United-States,0.0
38,Private,175360,primary school,Never-married,Prof-specialty,White,Male,1066.6169579194695,90,United-States,0.0
23,Private,44064,College,Separated,Other-service,White,Male,81330.58717715871,40,United-States,0.0
999,Self-emp-inc,107287,primary school,Widowed,Exec-managerial,White,Female,0.0,50,United-States,0.0
52,Private,198863,doctorate,Divorced,Exec-managerial,White,Male,84373.51900970229,60,United-States,0.0
51,Private,123011,Bachelors,Divorced,Exec-managerial,White,Male,0.0,50,United-States,0.0
60,Self-emp-not-inc,205246,Highschool,Never-married,Exec-managerial,Black,Male,0.0,50,United-States,0.0
63,Federal-gov,39181,primary school,Divorced,Exec-managerial,White,Female,0.0,60,United-States,0.0
53,Private,149650,Highschool,Never-married,Sales,White,Male,0.0,48,United-States,0.0
51,Private,197163,doctorate,Never-married,Prof-specialty,White,Female,0.0,50,United-States,0.0
37,Self-emp-not-inc,137527,primary school,Never-married,Prof-specialty,White,Female,0.0,60,United-States,0.0
54,Private,161691,Masters,Divorced,Prof-specialty,White,Female,0.0,40,United-States,0.0
44,Private,326232,Bachelors,Divorced,Exec-managerial,White,Male,0.0,50,United-States,0.0
43,Private,115806,Masters,Divorced,Exec-managerial,White,Female,0.0,40,United-States,0.0
51,Private,115066,College,Divorced,Adm-clerical,White,Female,0.0,40,United-States,0.0
43,Private,289669,Masters,Divorced,Prof-specialty,White,Female,0.0,40,United-States,0.0
71,?,100820,Highschool,Married-civ-spouse,?,White,Male,0.0,15,United-States,1.0
48,Private,121253,Bachelors,Separated,Sales,White,Female,23994.882597133477,70,United-States,0.0
71,Private,110380,Highschool,Married-civ-spouse,Sales,White,Male,0.0,52,United-States,1.0
73,Self-emp-not-inc,233882,Highschool,Married-civ-spouse,Farming-fishing,Asian-Pac-Islander,Male,0.0,40,Vietnam,1.0
68,?,192052,College,Married-civ-spouse,?,White,Female,0.0,40,United-States,1.0
67,?,174995,College,Married-civ-spouse,?,White,Male,0.0,40,United-States,1.0
40,Self-emp-not-inc,335549,doctorate,Never-married,Prof-specialty,White,Male,5917.680189790957,45,United-States,0.0
999,Private,237729,Highschool,Widowed,Sales,White,Female,75059.19698262222,72,United-States,0.0
51,State-gov,68898,Doctorate,Divorced,Tech-support,White,Male,29624.3961444538,39,United-States,0.0
42,Private,107276,College,Never-married,Exec-managerial,White,Female,0.0,40,United-States,0.0
39,Private,141584,Masters,Never-married,Sales,White,Male,0.0,45,United-States,0.0
32,Private,207668,Bachelors,Never-married,Exec-managerial,White,Male,0.0,50,United-States,0.0
53,Private,313243,College,Separated,Craft-repair,White,Male,0.0,45,United-States,0.0
